row_index,date,close,future_return,actual_direction,prob_majority_baseline,prob_logistic_regression,prob_random_forest,prob_xgboost,prob_mlp,prob_lstm,signal,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
604,2020-03-14,5172.06,0.19147303008859118,1,0.5204610951008646,0.8871689730329331,0.635272272823145,0.6587212,0.65102196,0.515761,1,0.18947303008859118,0.19147303008859118,0.88590499365599,0.88170825552581
620,2020-03-30,6394.38,0.07234634163124487,1,0.5204610951008646,0.2541448419882034,0.39124184933389916,0.43868876,0.4836009,0.49586725,0,0.0,0.07234634163124487,0.88590499365599,0.9454966221991692
625,2020-04-04,6856.99,0.06220659502201409,1,0.5204610951008646,0.3404025527920909,0.37064290093561936,0.43764794,0.4905396,0.4844435,1,0.06020659502201409,0.06220659502201409,0.9392423168370161,1.0043127476709952
669,2020-05-18,9733.93,-0.056994451367536114,0,0.5204610951008646,0.523333162963054,0.4682268215562524,0.5556712,0.5401846,0.5253776,1,-0.058994451367536116,-0.056994451367536114,0.8838322316540428,0.9470724936160642
674,2020-05-23,9179.15,0.04322186694846475,1,0.5204610951008646,0.6646910318621655,0.602185232057767,0.6820908,0.5175026,0.49961144,1,0.04122186694846475,0.04322186694846475,0.9202654463120504,0.9880067349256885
690,2020-06-08,9782.01,-0.03155486449104017,0,0.5204610951008646,0.48218623849660797,0.49027385490838066,0.5086255,0.49987665,0.43553165,1,-0.03355486449104017,-0.03155486449104017,0.889386063965263,0.9568303162888733
695,2020-06-13,9473.34,-0.009185778194385597,0,0.5204610951008646,0.49332670637293813,0.44309807105803833,0.49811563,0.49823433,0.4515875,1,-0.011185778194385597,-0.009185778194385597,0.8794375887245699,0.9480410852337798
739,2020-07-27,11029.96,0.06991956453151249,1,0.5204610951008646,0.5712939863668189,0.6805132196675325,0.5955066,0.518735,0.57255834,1,0.06791956453151249,0.06991956453151249,0.9391686067833861,1.0143277050713082
744,2020-08-01,11801.17,-0.0032801832360690453,0,0.5204610951008646,0.6851374479590503,0.6145815442294895,0.6909278,0.52294683,0.5690736,1,-0.005280183236069045,-0.0032801832360690453,0.9342096244500061,1.0110005243372528
760,2020-08-17,12281.13,-0.05033494474856959,0,0.5204610951008646,0.5290053328586013,0.4796857605530239,0.60106295,0.49887085,0.46141288,1,-0.05233494474856959,-0.05033494474856959,0.8853178153708331,0.9601118688039624
