row_index,date,close,future_return,actual_direction,prob_majority_baseline,prob_logistic_regression,prob_random_forest,prob_xgboost,prob_mlp,prob_lstm,signal,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
900,2021-01-04,31988.71,0.10678017337992074,1,0.5331412103746398,0.7434761064130315,0.5606052308060594,0.5849525,0.56653816,0.45238405,0,0.0,0.10678017337992074,1.2100659494146562,1.201664973421774
949,2021-02-22,54087.67,-0.08321009205979846,0,0.5331412103746398,0.5320180372837963,0.4598175001868823,0.4937697,0.582359,0.38121912,0,-0.0,-0.08321009205979846,1.2100659494146562,1.1016743203583128
970,2021-03-15,55605.2,-0.027370641594670952,0,0.5331412103746398,0.44375011608711173,0.6411096172528622,0.6381567,0.5559531,0.4267573,0,-0.0,-0.027370641594670952,1.2100659494146562,1.0715207873817327
1019,2021-05-03,57169.39,-0.02367088401677886,0,0.5331412103746398,0.44630883204518756,0.4604326610415649,0.51607275,0.513325,0.39835426,0,-0.0,-0.02367088401677886,1.2100659494146562,1.046156943102052
1040,2021-05-24,38796.29,-0.039758440819985696,0,0.5331412103746398,0.44085009599637653,0.3934641229933367,0.424065,0.45115247,0.49876323,0,-0.0,-0.039758440819985696,1.2100659494146562,1.004563374191312
1089,2021-07-12,33086.63,-0.0679120236784464,0,0.5331412103746398,0.37557152966126517,0.506750071533309,0.45748132,0.52085733,0.40709656,0,-0.0,-0.0679120236784464,1.2100659494146562,0.9363414425367317
1110,2021-08-02,39147.82,0.18150640316625544,1,0.5331412103746398,0.5756069514870643,0.5511190183148077,0.46008286,0.54773366,0.5872764,1,0.17950640316625543,0.18150640316625544,1.4272805355880411,1.106293409907077
1159,2021-09-20,43015.62,-0.02018499326523726,0,0.5331412103746398,0.5371021726184749,0.586497500785084,0.60361767,0.556529,0.5187374,0,-0.0,-0.02018499326523726,1.4272805355880411,1.0839628848787262
1180,2021-10-11,57471.35,0.07896960833528355,1,0.5331412103746398,0.5000141213593163,0.5817725550878353,0.6276563,0.5056814,0.52192426,0,0.0,0.07896960833528355,1.4272805355880411,1.1695630093475833
1229,2021-11-29,57776.25,-0.12694368360701846,0,0.5331412103746398,0.398835123197213,0.46798907328280637,0.56493133,0.48741138,0.4652758,0,-0.0,-0.12694368360701846,1.4272805355880411,1.0210943727304913
1250,2021-12-20,46914.16,0.08072786553143008,1,0.5331412103746398,0.503273089438061,0.5206465294787072,0.59510463,0.48923174,0.4909185,0,0.0,0.08072786553143008,1.4272805355880411,1.1035251419471783
1299,2022-02-07,43839.99,-0.029745672843447202,0,0.5331412103746398,0.40827497274868657,0.5552967696189129,0.5915114,0.49042994,0.56195784,0,-0.0,-0.029745672843447202,1.4272805355880411,1.070700044100299
1320,2022-02-28,43160.0,-0.11983317886932343,0,0.5331412103746398,0.48340643779371023,0.5579469800313486,0.58155465,0.4509219,0.49422318,0,-0.0,-0.11983317886932343,1.4272805355880411,0.9423946542002354
1369,2022-04-18,40801.13,-0.00919214737434959,0,0.5331412103746398,0.3983595947081437,0.48008726844114613,0.52233475,0.50843114,0.4638656,0,-0.0,-0.00919214737434959,1.4272805355880411,0.9337320236540276
1390,2022-05-09,30076.31,-0.006726224061395891,0,0.5331412103746398,0.5415073643560606,0.5456620737087929,0.6615935,0.57276464,0.5687939,0,-0.0,-0.006726224061395891,1.4272805355880411,0.92745153284963
1439,2022-06-27,20742.56,-0.0243870573352567,0,0.5331412103746398,0.5751632842298076,0.4820664365019614,0.51810175,0.47490776,0.4656262,0,-0.0,-0.0243870573352567,1.4272805355880411,0.9048337191423543
1460,2022-07-18,22432.58,-0.05000227347902031,0,0.5331412103746398,0.533562233467232,0.45522739992710043,0.5003542,0.47990638,0.5565155,0,-0.0,-0.05000227347902031,1.4272805355880411,0.8595899760647593
1509,2022-09-05,19796.84,0.13127852728011136,1,0.5331412103746398,0.5300626272364145,0.6168401700937652,0.6754528,0.51577973,0.58714473,1,0.12927852728011135,0.13127852728011136,1.6117972612444316,0.972435682187287
1530,2022-09-26,19227.82,0.02086872042696486,1,0.5331412103746398,0.4398156179642697,0.514534146706589,0.6012636,0.50502217,0.4795211,0,0.0,0.02086872042696486,1.6117972612444316,0.9927291705720583
1579,2022-11-14,16619.46,-0.0504330465610795,0,0.5331412103746398,0.47099794316639515,0.5007636055391497,0.5313124,0.49772337,0.513939,0,-0.0,-0.0504330465610795,1.6117972612444316,0.9426628140900559
1600,2022-12-05,16966.35,0.014350759002378366,1,0.5331412103746398,0.4939434915230495,0.5161845943145121,0.6304117,0.50920993,0.43514076,0,0.0,0.014350759002378366,1.6117972612444316,0.9561907409555661
1649,2023-01-23,22916.45,-0.003940400891062956,0,0.5331412103746398,0.6259594422068202,0.6317343238642998,0.64925295,0.5345376,0.63405466,1,-0.005940400891062956,-0.003940400891062956,1.6022225393575222,0.9524229661078787
1670,2023-02-13,21773.97,0.14091275040794127,1,0.5331412103746398,0.5816491705644231,0.4904103961242843,0.50836974,0.52468866,0.47567955,0,0.0,0.14091275040794127,1.6022225393575222,1.0866315058138294
1719,2023-04-03,27800.0,0.06609136690647488,1,0.5331412103746398,0.3885789236339323,0.5586076163639635,0.62596244,0.52376896,0.42041534,0,0.0,0.06609136690647488,1.6022225393575222,1.1584484673567066
1740,2023-04-24,27510.93,0.020258493624170315,1,0.5331412103746398,0.3481497325472261,0.4813303931532435,0.5628216,0.5087398,0.4845206,0,0.0,0.020258493624170315,1.6022225393575222,1.1819168882465823
1789,2023-06-12,25905.19,0.03625373911559815,1,0.5331412103746398,0.4133083511381454,0.530233195353351,0.64723504,0.50064236,0.47879878,0,0.0,0.03625373911559815,1.6022225393575222,1.2247657947693935
1810,2023-07-03,31156.2,-0.02389989793363767,0,0.5331412103746398,0.3318939640828948,0.45337784772366185,0.4089264,0.52225345,0.29027852,0,-0.0,-0.02389989793363767,1.6022225393575222,1.1954940172817943
1859,2023-08-21,26126.92,-0.0002648609173985239,0,0.5331412103746398,0.2661373373721858,0.4865937750447716,0.45979315,0.49370366,0.5503727,0,-0.0,-0.0002648609173985239,1.6022225393575222,1.1951773776396326
1880,2023-09-11,25162.52,0.06358623858023749,1,0.5331412103746398,0.4441560173248651,0.48980136505599503,0.5051707,0.5143561,0.5845261,1,0.061586238580237485,0.06358623858023749,1.7008973989250284,1.271174211519929
1929,2023-10-30,34474.73,0.016573298761150435,1,0.5331412103746398,0.5742411638905583,0.6506141737722306,0.65742123,0.52367944,0.64495176,1,0.014573298761150435,0.016573298761150435,1.7256850848816265,1.2922417615049187
1950,2023-11-20,37448.78,-0.005502983007724227,0,0.5331412103746398,0.4281465374012586,0.5434921333233732,0.6524068,0.5117547,0.5188311,0,-0.0,-0.005502983007724227,1.7256850848816265,1.2851305770494854
1999,2024-01-08,46951.04,-0.0945653174029798,0,0.5331412103746398,0.49785237664923804,0.4185770089757445,0.45129478,0.5104473,0.37804192,0,-0.0,-0.0945653174029798,1.7256850848816265,1.1636017961265261
2020,2024-01-29,43302.7,-0.013717389446847417,0,0.5331412103746398,0.5303679663728983,0.4367310641880887,0.47245583,0.49116182,0.39615807,0,-0.0,-0.013717389446847417,1.7256850848816265,1.1476402171280073
2069,2024-03-18,67609.99,0.033575215733651076,1,0.5331412103746398,0.42148831110519897,0.6833575115799798,0.7328586,0.5319307,0.45956233,0,0.0,0.033575215733651076,1.7256850848816265,1.1861724850026945
2090,2024-04-08,71620.0,-0.11449329796146335,0,0.5331412103746398,0.3244740703519978,0.41300291574606,0.4405863,0.50901365,0.3655049,0,-0.0,-0.11449329796146335,1.7256850848816265,1.0503636852435916
2139,2024-05-27,69436.43,-0.00902307333484742,0,0.5331412103746398,0.352197279708969,0.4061163211259212,0.4147182,0.5202025,0.30367517,0,-0.0,-0.00902307333484742,1.7256850848816265,1.0408861766833781
2160,2024-06-17,66504.33,-0.09339286629908161,0,0.5331412103746398,0.3922913811232682,0.4383074946901552,0.4995429,0.5118882,0.42188188,0,-0.0,-0.09339286629908161,1.7256850848816265,0.9436748331518252
